iter	Passed	Remaining
624	6114	3668
625	6119	3656
626	6123	3643
627	6130	3631
628	6134	3618
629	6138	3605
630	6145	3593
631	6150	3581
632	6155	3568
633	6162	3557
634	6166	3544
635	6170	3531
636	6177	3520
637	6182	3508
638	6189	3496
639	6196	3485
640	6209	3477
641	6214	3465
642	6222	3454
643	6227	3442
644	6237	3432
645	6243	3421
646	6253	3411
647	6258	3399
648	6263	3387
649	6269	3375
650	6273	3363
651	6284	3354
652	6290	3342
653	6295	3330
654	6301	3319
655	6307	3307
656	6311	3294
657	6322	3286
658	6327	3274
659	6335	3263
660	6339	3251
661	6344	3239
662	6348	3226
663	6353	3214
664	6357	3202
665	6363	3191
666	6367	3179
667	6372	3166
668	6376	3154
669	6380	3142
670	6384	3130
671	6388	3118
672	6393	3106
673	6399	3095
674	6403	3082
675	6408	3071
676	6412	3059
677	6416	3047
678	6421	3035
679	6430	3026
680	6440	3016
681	6446	3005
682	6454	2995
683	6459	2984
684	6463	2972
685	6471	2962
686	6475	2950
687	6479	2938
688	6484	2926
689	6488	2914
690	6492	2903
691	6496	2891
692	6503	2880
693	6507	2869
694	6511	2857
695	6516	2846
696	6520	2834
697	6524	2822
698	6531	2812
699	6536	2801
700	6540	2789
701	6545	2778
702	6549	2766
703	6553	2755
704	6557	2743
705	6564	2733
706	6568	2722
707	6588	2717
708	6595	2707
709	6599	2695
710	6603	2684
711	6609	2673
712	6613	2662
713	6617	2650
714	6622	2639
715	6632	2630
716	6637	2619
717	6642	2609
718	6647	2597
719	6654	2588
720	6659	2576
721	6663	2565
722	6667	2554
723	6673	2543
724	6677	2532
725	6681	2521
726	6685	2510
727	6692	2500
728	6698	2490
729	6704	2479
730	6708	2468
731	6712	2457
732	6718	2447
733	6724	2436
734	6729	2426
735	6736	2416
736	6742	2406
737	6749	2396
738	6755	2386
739	6761	2375
740	6766	2365
741	6771	2354
742	6777	2344
743	6783	2333
744	6788	2323
745	6795	2313
746	6800	2303
747	6805	2292
748	6809	2282
749	6815	2271
750	6822	2262
751	6830	2252
752	6836	2242
753	6843	2232
754	6849	2222
755	6853	2212
756	6860	2202
757	6865	2191
