iter	Passed	Remaining
817	5186	1154
818	5193	1147
819	5199	1141
820	5205	1134
821	5211	1128
822	5216	1121
823	5223	1115
824	5230	1109
825	5235	1102
826	5242	1096
827	5247	1090
828	5253	1083
829	5260	1077
830	5266	1071
831	5272	1064
832	5279	1058
833	5286	1052
834	5293	1045
835	5298	1039
836	5305	1033
837	5311	1026
838	5317	1020
839	5323	1014
840	5330	1007
841	5336	1001
842	5341	994
843	5347	988
844	5354	982
845	5359	975
846	5366	969
847	5373	963
848	5379	956
849	5385	950
850	5391	943
851	5397	937
852	5403	931
853	5409	924
854	5415	918
855	5422	912
856	5428	905
857	5434	899
858	5440	892
859	5445	886
860	5452	880
861	5457	873
862	5464	867
863	5470	861
864	5476	854
865	5483	848
866	5490	842
867	5496	835
868	5502	829
869	5507	822
870	5514	816
871	5520	810
872	5526	804
873	5533	797
874	5538	791
875	5545	784
876	5550	778
877	5556	772
878	5563	765
879	5569	759
880	5575	753
881	5581	746
882	5587	740
883	5593	734
884	5599	727
885	5605	721
886	5612	714
887	5618	708
888	5624	702
889	5630	695
890	5636	689
891	5642	683
892	5650	677
893	5656	670
894	5662	664
895	5668	657
896	5675	651
897	5681	645
898	5687	638
899	5694	632
900	5701	626
901	5707	620
902	5713	613
903	5719	607
904	5725	601
905	5731	594
906	5737	588
907	5743	581
908	5749	575
909	5756	569
910	5761	562
911	5767	556
912	5774	550
913	5780	543
914	5787	537
915	5793	531
916	5799	524
917	5806	518
918	5811	512
919	5818	505
920	5824	499
921	5830	493
922	5836	486
923	5842	480
924	5848	474
925	5854	467
926	5860	461
927	5867	455
928	5873	448
929	5879	442
930	5886	436
931	5892	429
932	5899	423
933	5904	417
934	5910	410
935	5917	404
936	5923	398
937	5929	391
938	5936	385
939	5941	379
940	5948	372
941	5954	366
942	5960	360
943	5966	353
944	5972	347
945	5977	341
946	5983	334
947	5990	328
948	5997	322
949	6003	315
950	6010	309
951	6016	303
952	6022	296
953	6027	290
954	6034	284
955	6040	278
956	6046	271
957	6052	265
958	6058	259
959	6064	252
960	6071	246
961	6077	240
962	6083	233
963	6090	227
964	6097	221
965	6105	214
966	6111	208
967	6117	202
968	6123	195
969	6130	189
970	6136	183
971	6142	176
972	6148	170
973	6153	164
974	6159	157
975	6165	151
976	6171	145
977	6178	138
978	6185	132
979	6190	126
980	6197	120
981	6204	113
982	6211	107
983	6216	101
984	6222	94
985	6229	88
986	6234	82
987	6240	75
988	6246	69
989	6251	63
990	6258	56
991	6265	50
992	6272	44
993	6279	37
994	6285	31
995	6291	25
996	6298	18
997	6305	12
998	6311	6
999	6317	0
